match_no,round,team_a,team_b
73,R32,Mexico,Switzerland
74,R32,Germany,South Korea
75,R32,Netherlands,Morocco
76,R32,Brazil,Sweden
77,R32,France,Ghana
78,R32,Ecuador,Senegal
79,R32,Spain,Japan
80,R32,England,Colombia
81,R32,United States,Austria
82,R32,Belgium,Croatia
83,R32,Portugal,Uruguay
84,R32,Argentina,Australia
85,R32,Canada,Norway
86,R32,Turkey,Saudi Arabia
87,R32,Uzbekistan,Paraguay
88,R32,Ivory Coast,Egypt
89,R16,Germany,France
90,R16,Mexico,Netherlands
91,R16,Brazil,Ecuador
92,R16,Spain,England
93,R16,Argentina,Portugal
94,R16,United States,Belgium
95,R16,Turkey,Ivory Coast
96,R16,Canada,Uzbekistan
97,QF,France,Netherlands
98,QF,Argentina,Belgium
99,QF,Brazil,Spain
100,QF,Canada,Turkey
101,SF,France,Argentina
102,SF,Spain,Canada
104,Final,Argentina,Spain
